Regulon,RMST_Under_minus_Over,pvalue,RMST_Under,RMST_Over
414,64.2,0.405,590.133949333866,525.939809020818
415,170,0.0404,673.141969908968,503.367090733234
416,165,0.0539,714.292246830854,548.913128093196
417,236,0.00871,783.20225592042,547.565077727488
418,250,0.00669,788.784068654802,539.165039691229
419,163,0.067,709.00797954053,546.029603614502
420,156,0.069,684.113636702138,528.215471041723
421,99.4,0.261,664.90924971851,565.497040620274
422,9.56,0.93,620.48444555474,610.921660099598
423,136,0.131,688.145240928618,552.171205138764
424,203,0.0585,716.549765776258,513.565447772145
425,41.1,0.695,647.572893201107,606.484938666892
426,169,0.166,692.663414634146,524.008873301455
427,133,0.197,662.67686972366,529.489283889934
428,-690,1.66e-05,451.003413241912,1141.20054422838
429,59.8,0.547,495.433673469388,435.662357801183
430,69.9,0.626,641.790303652116,571.851223859832
431,280,0.00459,801.088627795405,520.936298809866
432,-127,0.175,493.229385037801,620.244677669755
433,204,0.117,661.536938909018,457.599430483168
434,101,0.289,627.221581285575,526.187328525388
435,78.6,0.448,629.209198106784,550.567519643124
436,33.6,0.779,569.811665406903,536.243973324336
437,33.3,0.781,607.811111111111,574.5394385654
438,154,0.0604,723.0147656751,569.408797629502
439,-287,0.00732,413.739896530395,700.605076843751
440,211,0.156,733.460334943093,522.634669737257
441,-230,0.196,500.85579749524,731.173913043478
442,359,0.0219,885.833164519699,527.278350705178
443,375,0.0355,821.64590037885,447.098076295599
444,183,0.0198,724.974341985227,541.722075250316
445,260,0.0621,850.609705884866,590.160787176972
446,23.8,0.788,482.102401100585,458.282759661836
447,209,0.0313,665.403867667262,456.804032416516
448,152,0.267,691.163059482324,538.839938371402
449,194,0.0673,761.504891173878,567.16185510957
450,278,0.0291,835.345209464222,557.233459606968
451,44.7,0.773,674.936026936027,630.190028985998
452,-88.7,0.422,510.14278722137,598.832382917572
453,34.5,0.645,565.213710969511,530.738061354392
454,24.7,0.791,550.140117254293,525.44423242924
455,357,0.0691,1006.33930880542,649.343173061312
456,66,0.536,610.908062546707,544.915970656262
457,267,0.0174,821.569448033882,554.434831608598
458,-275,0.0393,517.942120927318,793.11263916564
459,-236,0.0934,546.816235227569,782.400288817281
460,77,0.256,566.800064147296,489.788197955143
461,96.3,0.305,599.695080154725,503.413997063637
462,305,0.00142,822.562250119789,517.530024955836
463,285,0.00401,748.820221353507,464.016204648199
464,275,0.00688,679.63551936583,404.82555782632
465,82.3,0.248,567.323007591308,484.983253237687
466,99.3,0.329,606.207465820585,506.870385875709
467,233,0.0355,762.700131986844,530.153058987478
468,190,0.00631,589.045821462656,399.432391691945
469,153,0.136,621.21455554984,468.072332359232
470,-24.1,0.8,615.944833849626,640.09040657435
471,-4.93,0.956,617.426559001437,622.360265909093
472,-24.3,0.76,617.060196699032,641.390662571422
473,-57.1,0.494,529.828721875713,586.940167719679
474,-180,0.0392,508.844383729076,688.521870860979
475,-39,0.678,576.718272660045,615.671848608591
476,-132,0.169,515.711300497569,647.469423182969
477,66.6,0.611,612.494989465029,545.915377045101
478,121,0.317,636.681667721853,515.334849001883
479,-43.2,0.603,530.967179099463,574.144964381532
480,24.2,0.797,589.304801932114,565.07547805721
481,88.1,0.463,636.312385402969,548.201934790911
482,-147,0.0719,488.982052573498,635.541620756506
483,-46.9,0.668,614.484810288688,661.393885455226
484,58,0.668,582.221296296296,524.192443733403
485,-125,0.191,500.149534577949,625.513464192887
486,145,0.249,701.078585435832,556.083522001381
487,101,0.438,745.487860380089,644.98086660382
488,140,0.467,722.036543405929,581.925442794608
489,-26.2,0.856,593.482622594028,619.696448462426
490,121,0.276,594.491471734893,473.826988394996
491,250,0.102,666.0234375,415.625920612147
492,-173,0.097,448.58811462084,621.704757071485
493,-57.1,0.488,498.769012940631,555.910287156545
494,-4.89,0.95,595.04743827184,599.932819085393
495,-152,0.142,527.139576200936,678.76088374086
496,-117,0.28,620.45635184936,737.323809860055
497,-36.2,0.823,691.256769149661,727.498970140429
498,-400,2e-04,367.428571428571,767.385140478114
499,-13.2,0.918,589.550469208211,602.722595731772
500,33.3,0.68,627.348798877937,594.011161299015
501,-37.1,0.675,549.627117351345,586.691391035515
502,23.5,0.858,567.486234705476,543.997270259861
503,-114,0.491,636.855418541253,750.410582010582
504,-397,0.0041,416.642857142857,813.397556390977
505,-54.8,0.7,489.298142717498,544.052276234568
506,-13.7,0.928,647.090513770597,660.812503667278
507,3.32,0.966,627.202402133688,623.887397450557
508,-34.6,0.735,614.580235496798,649.160120205396
509,-55.5,0.475,544.566060930784,600.094036964231
510,166,0.119,671.526305520346,505.042444741359
511,227,0.173,895.376439964904,668.649312674863
512,-52.8,0.646,598.26607853098,651.094667542655
513,-18.9,0.864,560.811467287832,579.735717664674
514,-75.6,0.244,426.176148504273,501.787909372229
515,112,0.325,561.476353276353,449.866995073892
516,-212,0.123,500.282608695652,712.085024154589
517,231,0.0633,780.071839954113,548.64295840974
518,21.5,0.792,625.601739431223,604.146844284159
519,-5.53,0.951,574.755553706216,580.282776541848
520,-177,0.0726,478.868731921398,655.691777849152
521,8.84,0.908,624.20962277845,615.370223256037
522,-194,0.0291,458.48019364489,652.243845466818
523,-16,0.838,554.707874992062,570.694158131766
524,-128,0.154,516.493987266268,644.295337982883
525,-137,0.147,582.547184562434,719.367471330904
526,-157,0.275,595.51801613148,752.799467342501
527,58.7,0.622,659.404722352883,600.716686320755
528,-112,0.272,594.92216595121,707.401467419518
529,-216,0.123,595.48651398757,811.93894873895
530,-282,0.00805,523.624515969046,805.82568298526
531,-120,0.334,598.992657486702,718.778908478301
532,-15.9,0.856,530.242231929824,546.121736869298
533,-49.6,0.672,544.287504595665,593.882696137417
534,16.9,0.903,671.547277120851,654.633408086612
535,286,0.0716,869.636439888164,583.60891144424
536,111,0.258,583.888888888889,472.713695893003
537,486,0.019,927.481767180926,441.432432432433
538,-104,0.347,524.455074786325,628.267679636242
539,39.3,0.629,642.894545208573,603.593483106762
540,-0.0312,1,533.660535900629,533.691758573388
541,-225,0.046,476.878632909846,701.791992524916
542,-4.96,0.975,575.585855641558,580.54200708061
543,193,0.0675,691.735469555494,498.493195599245
544,367,0.0249,895.901073289197,528.831121296785
545,-48.5,0.742,631.00942595445,679.518395603481
546,-279,0.0204,517.96894906387,796.828011494469
547,-10.6,0.895,603.080206517074,613.705689628398
548,-454,0.000354,344.85,798.7488118047
549,258,0.11,687.031066222454,428.773551887781
550,-86.1,0.272,526.883820267067,613.016932338002
551,-120,0.123,498.982788510236,618.491062284209
552,-121,0.161,555.25269973737,675.899122144085
553,257,0.00552,769.585816892125,512.700310329709
554,-148,0.29,652.997454182037,801.317826982427
555,6.07,0.958,649.031470458993,642.963909313934
556,162,0.197,662.782832401367,500.922122573526
557,-719,9.84e-06,442.430354657648,1161.62350740086
558,-138,0.144,520.2412134832,658.025125765915
559,145,0.415,584.64,439.774428518636
560,277,0.0363,802.219316618193,525.661244518067
561,-228,0.059,496.893362111778,724.745823095823
562,-80.7,0.204,443.031048501365,523.775641689751
563,21.8,0.933,604.747963800905,582.958333333333
564,63.5,0.578,601.434281528353,537.96877879116
565,78.6,0.6,720.57331295063,641.950156724706
566,-409,0.121,608.154545454545,1017.56250944822
567,-47,0.596,531.90595835819,578.901571672147
568,15.9,0.903,622.893062397373,606.979904694276
569,14.8,0.892,659.293575965702,644.454629520191
570,-127,0.314,501.697342050009,629.054820439215
571,-81,0.266,526.099737959593,607.099103399217
572,189,0.0275,686.311974562948,497.62222736299
573,112,0.213,689.592374924866,577.174323208327
574,146,0.222,689.716584389068,543.764935210961
575,320,0.000138,807.80372441536,487.56326124412
576,192,0.0389,708.352417832722,516.843824654909
577,-276,0.0107,494.314664807704,770.681381702986
578,177,0.0452,676.972020726978,499.526453656924
579,100,0.377,737.194663549386,637.133650619179
580,-240,0.0397,507.549970871107,747.327966813512
581,-179,0.0694,466.27652543589,645.66557716476
582,205,0.0258,722.584343621959,517.115839003394
583,-24,0.786,478.443941355745,502.473555055537
584,-9.35,0.934,630.860143090506,640.209192192339
585,258,0.0764,742.062675726952,484.198312855817
586,-212,0.142,538.884868421053,750.460782499082
587,-22,0.848,657.28084286199,679.306196846614
588,-333,0.0238,429.672833235858,762.793642472922
589,474,0.00074,977.650375234246,503.774133826854
590,131,0.248,627.713105217681,496.845808013197
591,80,0.385,626.503384424648,546.469653849468
592,-36.2,0.702,495.065575837973,531.237818697818
593,164,0.122,695.961291151382,531.947231541604
594,-10.2,0.911,451.612903225806,461.802234161663
595,40,0.722,627.207455149115,587.178430375537
596,-40,0.59,560.105597808596,600.125471858482
597,159,0.0257,608.789626142981,449.606345128156
598,127,0.196,625.349268779419,498.611432305511
599,-89,0.258,553.739006613589,642.738426983722
600,224,0.018,769.613984129009,545.963975983848
601,-76.2,0.351,513.061196271926,589.257355182124
602,-15,0.865,547.97729163025,562.995703459111
603,-154,0.222,598.618107936508,752.874447036951
604,148,0.163,670.075167091565,521.872054648726
605,-49.3,0.568,539.938432220252,589.250047830388
606,-146,0.191,476.315253457749,622.29732657725
607,-651,3.35e-05,449.17563149841,1100.12881086152
608,145,0.228,672.95597085841,528.115689342104
