,Programs,Genes
938,12,ENSG00000168056
939,12,ENSG00000152518
940,12,ENSG00000130529
941,12,ENSG00000174307
942,12,ENSG00000124067
943,12,ENSG00000118762
944,12,ENSG00000277354
945,12,ENSG00000175505
946,13,ENSG00000120063
947,13,ENSG00000182541
948,13,ENSG00000119912
949,13,ENSG00000115295
950,13,ENSG00000108846
951,13,ENSG00000137474
952,13,ENSG00000184371
953,13,ENSG00000128284
954,13,ENSG00000136630
955,13,ENSG00000168610
956,13,ENSG00000179583
957,13,ENSG00000145901
958,13,ENSG00000140092
959,13,ENSG00000149131
960,13,ENSG00000139083
961,13,ENSG00000163545
962,13,ENSG00000244509
963,13,ENSG00000185624
964,13,ENSG00000162645
965,13,ENSG00000163399
966,13,ENSG00000177469
967,13,ENSG00000086544
968,13,ENSG00000162576
969,13,ENSG00000171223
970,13,ENSG00000168398
971,13,ENSG00000128342
972,13,ENSG00000204634
973,13,ENSG00000171992
974,13,ENSG00000158270
975,13,ENSG00000125735
976,13,ENSG00000122861
977,13,ENSG00000137076
978,13,ENSG00000135842
979,13,ENSG00000075426
980,13,ENSG00000106785
981,13,ENSG00000128016
982,13,ENSG00000011028
983,13,ENSG00000139178
984,13,ENSG00000125304
985,13,ENSG00000018408
986,13,ENSG00000143870
987,13,ENSG00000130517
988,13,ENSG00000109320
989,13,ENSG00000072364
990,13,ENSG00000186591
991,13,ENSG00000221963
992,13,ENSG00000091527
993,13,ENSG00000184557
994,13,ENSG00000205403
995,13,ENSG00000072110
996,13,ENSG00000151651
997,13,ENSG00000168487
998,13,ENSG00000019169
999,13,ENSG00000113441
1000,14,ENSG00000156273
1001,14,ENSG00000134243
1002,14,ENSG00000133961
1003,14,ENSG00000147202
1004,14,ENSG00000163406
1005,14,ENSG00000104043
1006,14,ENSG00000134954
1007,14,ENSG00000145623
1008,14,ENSG00000110422
1009,14,ENSG00000115271
1010,14,ENSG00000109971
1011,14,ENSG00000112759
1012,14,ENSG00000135677
1013,14,ENSG00000110958
1014,14,ENSG00000198189
1015,14,ENSG00000125257
1016,14,ENSG00000169504
1017,14,ENSG00000140299
1018,14,ENSG00000110756
1019,14,ENSG00000071189
1020,14,ENSG00000196743
1021,14,ENSG00000077232
1022,14,ENSG00000159110
1023,14,ENSG00000119321
1024,14,ENSG00000132669
1025,14,ENSG00000102699
1026,14,ENSG00000110315
1027,14,ENSG00000127951
1028,14,ENSG00000159640
1029,14,ENSG00000136869
1030,14,ENSG00000283068
1031,14,ENSG00000155393
1032,14,ENSG00000120690
1033,14,ENSG00000143549
1034,14,ENSG00000146278
1035,14,ENSG00000136167
1036,14,ENSG00000082212
1037,14,ENSG00000114251
1038,14,ENSG00000173391
1039,14,ENSG00000250722
1040,14,ENSG00000118557
1041,14,ENSG00000133639
1042,14,ENSG00000144306
1043,14,ENSG00000135048
1044,14,ENSG00000135678
1045,14,ENSG00000066583
1046,14,ENSG00000081087
1047,14,ENSG00000177807
1048,14,ENSG00000042980
1049,14,ENSG00000176907
1050,14,ENSG00000104763
1051,14,ENSG00000076067
1052,14,ENSG00000130844
1053,14,ENSG00000117500
1054,14,ENSG00000108518
1055,14,ENSG00000084234
1056,14,ENSG00000257365
1057,14,ENSG00000090621
1058,14,ENSG00000096968
1059,14,ENSG00000057252
1060,14,ENSG00000254087
1061,14,ENSG00000003402
1062,15,ENSG00000121966
1063,15,ENSG00000130592
1064,15,ENSG00000143369
1065,15,ENSG00000106100
1066,15,ENSG00000070540
1067,15,ENSG00000197405
